system:index,area,band,class,class_name,.geo
14_0_7,165.5711304054662,classification_1999,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_8,41.88611529772976,classification_1999,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_9,1.5367228684692424,classification_1999,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_10,1.0029305678100588,classification_1999,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_11,3.0413016526489343,classification_1999,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_12,0.6181361395874025,classification_1999,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_13,0.13174151361083963,classification_1999,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0_14,1.270306720336917,classification_1999,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_0,69.91775311114269,classification_2000,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_1,4.826019301086468,classification_2000,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_2,4.326702364624004,classification_2000,9,Forest Plantation,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_3,1.6702634376831054,classification_2000,11,Wetland,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_4,0.5276996292724623,classification_2000,12,"Grassland (Pastizal, Formación Herbácea)","{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_5,120.38231885051314,classification_2000,15,Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_6,83.64641150049111,classification_2000,20,Sugar Cane,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_7,162.81776673182407,classification_2000,21,Mosaic of Agriculture and Pasture,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_8,42.344782496522,classification_2000,24,Urban Infrastructure,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_9,2.3731903092041016,classification_2000,25,Other Non Vegetated Area,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_10,1.0517474464721663,classification_2000,30,Mining,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_11,2.3540786891479497,classification_2000,33,"River, Lake and Ocean","{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_12,0.0455770830078125,classification_2000,39,Soy Beans,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_13,0.556017764038087,classification_2000,41,Mosaic of Crops,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_14,0.135055755187988,classification_2000,46,Coffe,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_15,1.4376881021728505,classification_2000,47,Citrus,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_0,68.34886638781448,classification_2001,3,Forest Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_1,4.68103012945564,classification_2001,4,Savanna Formation,"{""type"":""MultiPoint"",""coordinates"":[]}"
